bedrooms,bathrooms,garden,street,price_pounds,nearest_station_name,nearest_station_miles,postcode_outer,tenure_freehold,tenure_leasehold
5.0,4.0,0,11071934.513219284,10500000,8453846.153846154,0.2,10902901.452554744,True,False
6.0,5.0,0,9355555.555555556,8950000,8864718.75,0.3,8490022.727272727,True,False
7.0,5.0,1,9355555.555555556,11950000,8864718.75,0.7,8490022.727272727,True,False
5.0,4.0,0,11071934.513219284,10500000,8453846.153846154,0.2,10902901.452554744,True,False
6.0,5.0,0,9355555.555555556,8950000,8864718.75,0.3,8490022.727272727,True,False
7.0,5.0,1,9355555.555555556,11950000,8864718.75,0.7,8490022.727272727,True,False
6.0,6.0,1,11071934.513219284,10950000,11798275.827586208,0.3,15933333.333333334,True,False
6.0,4.0,1,11071934.513219284,18500000,14365500.0,0.3,13577111.111111112,True,False
3.0,3.0,0,11071934.513219284,8950000,10746666.666666666,0.0,11820000.0,False,True
6.0,6.0,1,12685000.0,11750000,18819833.333333332,0.3,13234855.072463768,True,False
6.0,5.0,1,11071934.513219284,20000000,16000000.0,1.1,14875000.0,True,False
6.0,7.0,0,11071934.513219284,43700000,18819833.333333332,0.1,13234855.072463768,False,True
5.0,4.0,0,11071934.513219284,10500000,8453846.153846154,0.2,10902901.452554744,True,False
6.0,5.0,0,9355555.555555556,8950000,8864718.75,0.3,8490022.727272727,True,False
7.0,5.0,1,9355555.555555556,11950000,8864718.75,0.7,8490022.727272727,True,False
6.0,6.0,1,11071934.513219284,10950000,11798275.827586208,0.3,15933333.333333334,True,False
6.0,4.0,1,11071934.513219284,18500000,14365500.0,0.3,13577111.111111112,True,False
3.0,3.0,0,11071934.513219284,8950000,10746666.666666666,0.0,11820000.0,False,True
6.0,6.0,1,12685000.0,11750000,18819833.333333332,0.3,13234855.072463768,True,False
6.0,5.0,1,11071934.513219284,20000000,16000000.0,1.1,14875000.0,True,False
6.0,7.0,0,11071934.513219284,43700000,18819833.333333332,0.1,13234855.072463768,False,True
5.0,4.0,0,6500000.0,6500000,9694230.76923077,0.1,11429166.666666666,False,True
3.0,3.0,2,11071934.513219284,6950000,9814062.5,0.3,12067706.25,False,True
1.0,1.0,3,11071934.513219284,20000000,12577272.727272727,0.3,13255600.0,False,True
3.0,3.0,0,11071934.513219284,6400000,13016729.487179488,0.1,13234855.072463768,False,True
4.0,4.0,0,11071934.513219284,6950000,6950000.0,0.4,6950000.0,True,False
4.0,3.0,0,11071934.513219284,6950000,14365500.0,0.4,10902901.452554744,False,True
5.0,4.0,0,12923529.411764706,8450000,11352109.375,0.1,12944750.0,False,True
6.0,8.0,1,10191666.666666666,7950000,7950000.0,0.9,7950000.0,True,False
3.0,3.0,1,11071934.513219284,8750000,9475000.0,0.2,8750000.0,False,False
9.0,6.0,2,11071934.513219284,22000000,12577272.727272727,0.2,10902901.452554744,True,False
4.0,4.0,2,11071934.513219284,7250000,12450000.0,0.1,7250000.0,False,True
6.0,4.0,1,11071934.513219284,6450000,9814062.5,0.7,9915760.869565217,True,False
4.0,4.0,0,11071934.513219284,9500000,14261538.461538462,0.3,13577111.111111112,False,True
4.0,4.0,0,11071934.513219284,9500000,14261538.461538462,0.3,13577111.111111112,False,True
3.0,3.0,2,11071934.513219284,9450000,10746666.666666666,0.0,11820000.0,False,True
5.0,5.0,0,11071934.513219284,25500000,11649166.666666666,0.2,13413888.888888888,False,True
6.0,6.0,0,11071934.513219284,19950000,18819833.333333332,0.3,13234855.072463768,False,True
3.0,3.0,0,9500000.0,9500000,9420833.333333334,0.2,10902901.452554744,False,True
3.0,2.0,1,11071934.513219284,650000,650000.0,1.2,10902901.452554744,True,False
4.0,3.0,3,11071934.513219284,15020000,14365500.0,0.2,13577111.111111112,False,True
3.0,3.0,1,11071934.513219284,22900000,11352109.375,0.2,12944750.0,False,True
3.0,3.0,1,11071934.513219284,22900000,11352109.375,0.2,12944750.0,False,True
3.0,3.0,1,11071934.513219284,22900000,11352109.375,0.2,12944750.0,False,True
3.0,3.0,0,12923529.411764706,14000000,11798275.827586208,0.4,10975000.0,False,True
3.0,1.0,0,11071934.513219284,9117000,11352109.375,0.3,9693870.967741935,False,True
6.0,7.0,1,10495454.545454545,9950000,12154540.909090908,0.9,12644438.888888888,True,False
3.0,3.0,2,11071934.513219284,795000,3499285.714285714,0.2,4072500.0,False,True
3.0,4.0,1,11071934.513219284,9200000,8466428.57142857,0.2,10902901.452554744,False,False
4.0,4.0,0,11071934.513219284,7650000,10355555.555555556,0.3,9915760.869565217,True,False
6.0,4.0,0,11071934.513219284,7500000,7500000.0,0.4,13413888.888888888,True,False
5.0,2.0,0,11071934.513219284,6750000,6750000.0,0.2,6100000.0,True,False
7.0,6.0,1,11071934.513219284,8750000,8864718.75,0.6,8490022.727272727,True,False
2.0,2.0,0,11071934.513219284,6950000,13016729.487179488,0.1,12067706.25,False,True
4.0,5.0,0,11071934.513219284,15000000,12804545.454545455,0.1,11514117.647058824,False,False
5.0,5.0,2,11071934.513219284,8500000,11649166.666666666,0.2,13413888.888888888,False,True
3.0,2.0,0,11071934.513219284,7695000,11352109.375,0.3,9693870.967741935,False,True
4.0,5.0,0,11071934.513219284,7250000,8125000.0,0.9,11402571.42857143,False,True
24.0,1.0,0,8500000.0,8500000,15737500.0,0.3,8500000.0,True,False
4.0,4.0,0,11071934.513219284,8950000,18819833.333333332,0.3,13234855.072463768,True,False
5.0,5.0,0,11071934.513219284,6500000,6500000.0,0.3,11402571.42857143,True,False
3.0,4.0,0,11071934.513219284,6250000,6412000.0,0.1,6412000.0,False,True
7.0,5.0,0,11071934.513219284,15000000,14261538.461538462,0.2,15785714.285714285,True,False
5.0,4.0,0,11071934.513219284,9650000,15250000.0,0.3,13234855.072463768,True,False
4.0,4.0,2,11071934.513219284,6950000,9814062.5,0.2,9915760.869565217,False,False
12.0,12.0,0,75000000.0,75000000,75000000.0,0.4,75000000.0,True,False
8.0,4.0,2,11071934.513219284,7500000,8850000.0,0.3,9653846.153846154,True,False
2.0,2.0,1,11071934.513219284,5380000,11555789.47368421,0.3,9693870.967741935,False,True
6.0,7.0,1,7350000.0,7350000,7880000.0,0.3,11109090.909090908,False,True
3.0,3.0,0,11071934.513219284,9750000,10355555.555555556,0.3,13234855.072463768,True,False
6.0,5.0,1,15386875.0,15950000,12137500.0,0.4,10902901.452554744,True,False
7.0,6.0,0,7315000.0,7950000,7950000.0,0.9,8490022.727272727,True,False
6.0,2.0,1,11071934.513219284,12500000,11261111.111111112,0.1,10466666.666666666,True,False
4.0,4.0,0,11071934.513219284,9000000,12804545.454545455,0.2,10902901.452554744,False,True
5.0,3.0,1,6500666.666666667,12310000,10517781.25,0.1,9848590.909090908,False,True
5.0,4.0,2,22500000.0,22500000,20987500.0,0.4,13413888.888888888,True,False
5.0,4.0,1,11071934.513219284,6350000,12137500.0,0.1,12067706.25,True,False
7.0,6.0,1,11071934.513219284,6375000,6537500.0,0.3,7940000.0,True,False
5.0,5.0,2,11071934.513219284,7500000,9814062.5,0.0,7816666.666666667,True,False
4.0,3.0,0,11071934.513219284,8750000,9200000.0,0.1,9333333.333333334,True,False
6.0,5.0,1,10191666.666666666,12950000,13100000.0,0.7,12550000.0,True,False
3.0,5.0,0,11071934.513219284,14750000,18819833.333333332,0.3,12944750.0,False,False
6.0,4.0,1,11071934.513219284,25000000,14261538.461538462,0.2,15785714.285714285,True,False
5.0,4.0,1,10318944.444444444,12310000,10517781.25,0.2,9848590.909090908,False,True
8.0,8.0,0,11071934.513219284,19995000,19995000.0,0.7,8499444.444444444,True,False
3.0,1.0,1,1000000.0,1000000,1000000.0,0.5,10902901.452554744,True,False
4.0,4.0,0,11071934.513219284,6950000,12804545.454545455,0.1,12944750.0,False,True
5.0,5.0,2,11071934.513219284,13950000,12577272.727272727,0.6,13255600.0,False,True
8.0,8.0,2,11071934.513219284,11950000,11352109.375,0.2,12944750.0,True,False
9.0,9.0,0,11071934.513219284,11950000,10470416.666666666,0.9,10167999.966666667,False,False
10.0,10.0,1,11071934.513219284,23950000,13016729.487179488,0.4,12067706.25,True,False
3.0,3.0,0,11071934.513219284,15000000,11798275.827586208,0.2,10902901.452554744,False,True
6.0,5.0,2,11071934.513219284,21500000,20987500.0,0.4,13413888.888888888,False,True
5.0,5.0,1,10318944.444444444,12000000,10517781.25,0.2,12000000.0,False,False
7.0,8.0,0,11071934.513219284,8000000,16000000.0,1.5,8499444.444444444,True,False
5.0,4.0,2,11071934.513219284,14950000,12137500.0,0.4,11109090.909090908,True,False
5.0,4.0,0,11071934.513219284,11250000,10935714.285714285,0.3,13413888.888888888,False,True
7.0,5.0,1,11071934.513219284,44000000,14365500.0,0.2,13577111.111111112,True,False
5.0,4.0,1,11863000.0,11863000,10517781.25,0.2,10902901.452554744,False,True
3.0,3.0,0,10550000.0,9500000,15250000.0,0.3,10483333.333333334,False,False
7.0,9.0,1,11071934.513219284,24950000,13016729.487179488,0.2,13234855.072463768,True,False
3.0,4.0,1,8362500.0,9000000,8466428.57142857,0.2,9848590.909090908,False,False
7.0,4.0,4,11071934.513219284,8000000,8000000.0,0.2,8000000.0,True,False
3.0,2.0,1,4786666.666666667,360000,360000.0,1.0,360000.0,True,False
3.0,3.0,1,11071934.513219284,3350000,3499285.714285714,0.2,3270000.0,False,True
3.0,3.0,0,11071934.513219284,6250000,10355555.555555556,0.0,11738095.238095239,False,True
4.0,4.0,2,6650000.0,6650000,6800000.0,0.2,10902901.452554744,False,True
3.0,3.0,0,11071934.513219284,8047000,11555789.47368421,0.3,9693870.967741935,False,True
3.0,3.0,0,11071934.513219284,11000000,11352109.375,0.3,12944750.0,False,True
3.0,3.0,0,11071934.513219284,9500000,13016729.487179488,0.1,9915760.869565217,False,False
2.0,2.0,1,9500000.0,9500000,14365500.0,0.3,9500000.0,False,True
6.0,4.0,1,11071934.513219284,6950000,10549807.615384616,0.7,10167999.966666667,True,False
2.0,2.0,0,11071934.513219284,8750000,15250000.0,0.2,11738095.238095239,False,True
4.0,4.0,0,11071934.513219284,6950000,18819833.333333332,0.2,13234855.072463768,True,False
6.0,5.0,1,16475000.0,9950000,11649166.666666666,0.5,13413888.888888888,False,True
4.0,5.0,0,6900000.0,6900000,6900000.0,0.1,10902901.452554744,False,True
6.0,5.0,3,11071934.513219284,7250000,7483333.333333333,0.2,5730000.0,True,False
10.0,10.0,0,11071934.513219284,23950000,13016729.487179488,0.4,12067706.25,True,False
6.0,8.0,1,12464285.714285715,19950000,13016729.487179488,0.2,13234855.072463768,True,False
6.0,5.0,1,11071934.513219284,7250000,9875000.0,0.9,7150000.0,True,False
6.0,3.0,1,11362500.0,6750000,12577272.727272727,0.6,13255600.0,True,False
7.0,6.0,1,9375000.0,6750000,9375000.0,0.6,10902901.452554744,True,False
7.0,6.0,0,11071934.513219284,22500000,20987500.0,0.4,13413888.888888888,False,True
4.0,4.0,0,11071934.513219284,9950000,14261538.461538462,0.3,13577111.111111112,False,True
6.0,6.0,1,15386875.0,9500000,15737500.0,0.3,10902901.452554744,True,False
2.0,2.0,0,11071934.513219284,6750000,14365500.0,0.3,13577111.111111112,False,False
6.0,6.0,0,11071934.513219284,7500000,14365500.0,0.1,13577111.111111112,True,False
3.0,4.0,0,11071934.513219284,19000000,12804545.454545455,0.1,10902901.452554744,False,False
3.0,3.0,0,11071934.513219284,9950000,9950000.0,0.0,13413888.888888888,False,True
4.0,4.0,0,11071934.513219284,10950000,10355555.555555556,0.3,13234855.072463768,True,False
7.0,7.0,1,11071934.513219284,8250000,10549807.615384616,0.7,10167999.966666667,True,False
4.0,4.0,1,11071934.513219284,7950000,13978000.0,0.2,9653846.153846154,False,True
6.0,5.0,1,11071934.513219284,15500000,11352109.375,0.4,10902901.452554744,True,False
5.0,6.0,0,10191666.666666666,7950000,7950000.0,1.0,7950000.0,True,False
6.0,6.0,1,6500000.0,6500000,3900000.0,0.5,3900000.0,True,False
6.0,5.0,1,11071934.513219284,11500000,11352109.375,0.3,10902901.452554744,False,True
4.0,3.0,0,11071934.513219284,6950000,18819833.333333332,0.2,13234855.072463768,True,False
5.0,5.0,2,10318944.444444444,12669000,10517781.25,0.2,9848590.909090908,False,True
5.0,5.0,0,16000000.0,16000000,9694230.76923077,0.1,11429166.666666666,False,True
3.0,3.0,0,11071934.513219284,6900000,6900000.0,0.6,11402571.42857143,False,True
3.0,3.0,3,11071934.513219284,18230000,14365500.0,0.2,13577111.111111112,False,True
3.0,4.0,1,11071934.513219284,8750000,10355555.555555556,0.2,13234855.072463768,False,False
5.0,5.0,1,11071934.513219284,25500000,11649166.666666666,0.2,13413888.888888888,False,True
3.0,5.0,0,12464285.714285715,13500000,13016729.487179488,0.3,9915760.869565217,False,False
6.0,7.0,0,13208333.333333334,9000000,9694230.76923077,0.7,8957307.692307692,False,True
1.0,1.0,2,11071934.513219284,11000000,10935714.285714285,0.4,13413888.888888888,True,False
7.0,7.0,1,11071934.513219284,19950000,10549807.615384616,0.5,10167999.966666667,True,False
5.0,4.0,0,11071934.513219284,6500000,9694230.76923077,0.1,10902901.452554744,False,True
3.0,3.0,1,10318944.444444444,8500000,6800000.0,0.7,7725000.0,False,True
6.0,4.0,1,7315000.0,6500000,7247500.0,0.8,8490022.727272727,True,False
3.0,3.0,1,11071934.513219284,6500000,11649166.666666666,0.1,7872500.0,False,True
6.0,7.0,0,9375000.0,12000000,9375000.0,0.6,12000000.0,True,False
5.0,5.0,2,11071934.513219284,7000000,10549807.615384616,0.8,10167999.966666667,True,False
3.0,3.0,0,7300000.0,7300000,7300000.0,0.3,10902901.452554744,False,True
7.0,7.0,1,11071934.513219284,6375000,6537500.0,0.3,7940000.0,True,False
3.0,4.0,0,11071934.513219284,14500000,13016729.487179488,0.3,9915760.869565217,False,False
2.0,2.0,0,11071934.513219284,6500000,8453846.153846154,0.2,8265000.0,False,False
3.0,4.0,0,9500000.0,9500000,9420833.333333334,0.2,10902901.452554744,False,False
3.0,4.0,1,10318944.444444444,7250000,8466428.57142857,0.2,9848590.909090908,False,False
3.0,3.0,1,8116666.666666667,7250000,9814062.5,0.1,12067706.25,False,True
6.0,7.0,2,11071934.513219284,17950000,10746666.666666666,0.1,13413888.888888888,False,True
7.0,7.0,1,11071934.513219284,35000000,18819833.333333332,0.2,15933333.333333334,True,False
11.0,6.0,1,11071934.513219284,7495000,8864718.75,1.1,8490022.727272727,True,False
7.0,6.0,2,16475000.0,22500000,20987500.0,0.4,13413888.888888888,False,True
3.0,3.0,0,11071934.513219284,8201000,11555789.47368421,0.4,9693870.967741935,False,True
8.0,8.0,0,11071934.513219284,13500000,10549807.615384616,0.1,10750000.0,True,False
7.0,7.0,0,12685000.0,19000000,15250000.0,0.2,11738095.238095239,True,False
1.0,1.0,0,10000000.0,10000000,10000000.0,0.9,10000000.0,False,False
4.0,3.0,0,10318944.444444444,6950000,6800000.0,0.7,7725000.0,False,True
3.0,4.0,0,11071934.513219284,13500000,13500000.0,0.2,13500000.0,False,True
10.0,10.0,0,11071934.513219284,16500000,13016729.487179488,0.3,13234855.072463768,True,False
6.0,6.0,0,11071934.513219284,18000000,13016729.487179488,0.2,12067706.25,False,True
7.0,4.0,2,8000000.0,8000000,12804545.454545455,0.2,11514117.647058824,False,True
5.0,5.0,0,11071934.513219284,9000000,10355555.555555556,0.3,13234855.072463768,True,False
5.0,5.0,1,11071934.513219284,8550000,8988333.333333334,0.1,8957307.692307692,False,True
3.0,3.0,0,11071934.513219284,6995000,13016729.487179488,0.1,13234855.072463768,False,True
3.0,3.0,0,11071934.513219284,6995000,13016729.487179488,0.1,13234855.072463768,False,True
6.0,7.0,0,11071934.513219284,18950000,20300000.0,0.3,13255600.0,True,False
6.0,7.0,1,11071934.513219284,17999999,10549807.615384616,0.4,10902901.452554744,True,False
4.0,5.0,0,11870800.0,6500000,10746666.666666666,0.2,7992857.142857143,False,True
1.0,1.0,0,11071934.513219284,415000,8988333.333333334,0.3,8957307.692307692,False,True
1.0,1.0,0,11071934.513219284,6350000,12450000.0,0.6,11109090.909090908,False,True
3.0,3.0,1,5833333.333333333,5685000,11261111.111111112,0.1,5833333.333333333,False,True
5.0,4.0,0,11071934.513219284,14950000,18819833.333333332,0.2,13234855.072463768,False,True
9.0,5.0,1,3950000.0,7000000,7000000.0,0.3,5730000.0,True,False
4.0,4.0,0,11071934.513219284,15000000,8850000.0,0.3,9653846.153846154,False,False
7.0,5.0,2,11071934.513219284,9500000,9500000.0,0.2,6100000.0,True,False
3.0,3.0,0,11870800.0,7618000,11555789.47368421,0.3,9693870.967741935,False,True
5.0,2.0,0,11071934.513219284,8450000,11352109.375,0.1,10902901.452554744,False,True
2.0,1.0,0,11071934.513219284,6520000,11352109.375,0.3,9693870.967741935,False,True
4.0,4.0,1,14435000.0,16020000,14365500.0,0.2,13577111.111111112,False,True
6.0,3.0,1,19500000.0,19500000,10549807.615384616,0.8,11375000.0,False,False
5.0,4.0,1,12029500.0,12310000,10517781.25,0.1,10902901.452554744,False,True
1.0,1.0,0,15000000.0,15000000,15000000.0,0.2,10902901.452554744,False,False
4.0,4.0,1,12923529.411764706,11950000,11352109.375,0.3,12944750.0,True,False
3.0,3.0,1,11071934.513219284,3500000,3499285.714285714,0.2,3270000.0,False,True
5.0,3.0,0,12397333.333333334,11500000,10517781.25,0.1,9848590.909090908,False,True
4.0,4.0,1,11071934.513219284,9150000,11442000.0,0.6,11402571.42857143,False,True
7.0,5.0,1,7750000.0,7000000,7000000.0,0.5,7750000.0,True,False
7.0,7.0,1,10191666.666666666,6950000,13100000.0,1.1,12550000.0,True,False
5.0,5.0,2,11071934.513219284,17650000,13016729.487179488,0.2,10902901.452554744,True,False
3.0,1.0,0,11071934.513219284,8548000,11352109.375,0.3,9693870.967741935,False,True
2.0,2.0,0,11071934.513219284,895000,9279000.0,0.4,13255600.0,False,False
4.0,4.0,0,11071934.513219284,7850000,11750000.0,0.2,10612500.0,True,False
3.0,4.0,2,11071934.513219284,7250000,9814062.5,0.1,12067706.25,True,False
5.0,7.0,1,11071934.513219284,17000000,13016729.487179488,0.3,13234855.072463768,True,False
7.0,5.0,1,11071934.513219284,21500000,11800000.0,0.3,11514117.647058824,True,False
5.0,6.0,0,11071934.513219284,20000000,13750000.0,0.3,13255600.0,True,False
5.0,5.0,1,9450000.0,7950000,7483333.333333333,0.3,11402571.42857143,True,False
3.0,3.0,1,11071934.513219284,8950000,10355555.555555556,0.2,13234855.072463768,False,False
5.0,4.0,1,10318944.444444444,11756000,10517781.25,0.2,9848590.909090908,False,True
5.0,5.0,1,11071934.513219284,19500000,10355555.555555556,0.3,13234855.072463768,False,True
3.0,1.0,0,400000.0,400000,400000.0,0.2,400000.0,False,True
8.0,8.0,2,11071934.513219284,11000000,9814062.5,0.6,9915760.869565217,True,False
3.0,3.0,0,11071934.513219284,27000000,11555789.47368421,0.4,9693870.967741935,False,True
3.0,3.0,1,11071934.513219284,15950000,13016729.487179488,0.2,12067706.25,False,True
8.0,6.0,2,11071934.513219284,14950000,10355555.555555556,0.6,9915760.869565217,True,False
3.0,3.0,0,9950000.0,9950000,10517781.25,0.2,10902901.452554744,False,True
3.0,3.0,0,12923529.411764706,6350000,11352109.375,0.3,12944750.0,False,True
5.0,5.0,1,11071934.513219284,9750000,13016729.487179488,0.3,12067706.25,True,False
6.0,6.0,1,11071934.513219284,8000000,9200000.0,1.4,8499444.444444444,True,False
3.0,2.0,0,11925000.0,6500000,6500000.0,0.3,10902901.452554744,True,False
6.0,6.0,0,11362500.0,9000000,10549807.615384616,0.6,10167999.966666667,True,False
4.0,3.0,2,11071934.513219284,11251000,10517781.25,0.1,9848590.909090908,False,True
3.0,3.0,0,11071934.513219284,8500000,11352109.375,0.2,12944750.0,False,True
4.0,4.0,0,11071934.513219284,8000000,10746666.666666666,0.3,7992857.142857143,False,True
5.0,6.0,1,11071934.513219284,25000000,12804545.454545455,0.2,10902901.452554744,True,False
3.0,3.0,1,11071934.513219284,7250000,9814062.5,0.1,10902901.452554744,False,True
4.0,4.0,0,11071934.513219284,9250000,11800000.0,0.4,8265000.0,False,False
4.0,3.0,1,11071934.513219284,16000000,13016729.487179488,0.1,10902901.452554744,True,False
4.0,4.0,0,11071934.513219284,17000000,11750000.0,0.2,10612500.0,False,True
3.0,3.0,1,5833333.333333333,8450000,11261111.111111112,0.1,5833333.333333333,False,True
2.0,1.0,2,11071934.513219284,500000,500000.0,0.5,8499444.444444444,False,True
6.0,6.0,0,12923529.411764706,23950000,12804545.454545455,0.2,12944750.0,True,False
5.0,5.0,3,11071934.513219284,12950000,9814062.5,0.3,9915760.869565217,True,False
6.0,5.0,0,6750000.0,6750000,9250000.0,1.3,9250000.0,True,False
7.0,5.0,0,11071934.513219284,35000000,11261111.111111112,0.4,10902901.452554744,True,False
4.0,3.0,2,6500000.0,6500000,9814062.5,0.5,12067706.25,False,False
